word1,word2,frequency
"for","the",2397
"the","state",2287
"appropriations","committee",1257
"and","the",1251
"mental","health",1213
"thank","you",1089
"with","the",947
"the","appropriations",916
"you","for",793
"the","connecticut",682
"have","been",680
"health","and",657
"funding","for",607
"the","governors",602
"that","the",586
"for","your",580
"from","the",564
"the","department",559
"health","care",550
"more","than",548
"services","and",543
"has","been",540
"fiscal","year",511
"the","community",493
"the","states",463
"senator","bye",463
"representative","walker",449
"bye","representative",444
"the","fiscal",443
"expenditures","for",433
"state","expenditures",423
"our","state",420
"year","ending",419
"and","members",419
"act","making",414
"making","adjustments",413
"children","and",411
"ending","june",401
"uconn","health",398
"walker","and",384
"state","and",383
"the","opportunity",381
"the","budget",379
"they","are",377
"can","not",370
"the","program",344
"proposed","budget",337
"the","proposed",333
"for","our",333
"ahec","program",333
"through","the",332
"early","childhood",327
"who","are",317
"and","families",309
"that","are",308
"and","other",301
"that","you",297
"and","their",297
"have","the",296
"line","item",292
"are","not",285
"primary","care",283
"urge","you",283
"the","committee",283
"community","health",282
"this","program",281
"budget","cuts",278
"people","with",275
"the","governor",273
"and","community",271
"not","only",270
"over","the",268
"with","disabilities",266
"education","and",266
"and","have",264
"the","past",263
"executive","director",260
"across","the",257
"care","and",256
"services","for",253
"public","health",251
"the","most",251
"care","for",250
"the","regional",247
"new","haven",247
"programs","and",246
"ahec","network",242
"good","evening",241
"there","are",237
"the","school",236
"the","funding",236
"about","the",228
"governors","proposed",226
"the","health",222
"for","all",217
"before","the",214
"time","and",214
"substance","abuse",214
"independent","living",213
"and","supports",212
"high","school",211
"health","services",211
"that","they",210
"general","assembly",205
"higher","education",205
"the","current",204
"the","same",204
"will","have",204
"committee","february",203
"services","that",201
"even","start",198
"that","will",198
"the","office",196
"last","year",193
"social","services",193
"human","services",193
"the","best",191
"workforce","development",191
"community","based",190
"the","legislature",190
"behavioral","health",189
"brain","injury",188
"within","the",188
"your","time",186
"families","and",186
"programs","for",186
"into","the",185
"the","future",185
"care","workforce",185
"services","are",185
"state","budget",184
"for","children",182
"the","university",182
"regional","mental",180
"public","hearing",180
"and","our",178
"community","college",177
"these","cuts",174
"and","services",171
"for","their",171
"center","for",170
"their","families",169
"state","agencies",169
"and","support",168
"connecticut","state",168
"support","for",168
"safety","net",168
"who","have",168
"our","students",167
"the","first",166
"people","who",166
"under","the",166
"would","have",165
"and","private",164
"their","children",164
"state","funding",164
"long","term",163
"are","the",163
"the","last",163
"the","commission",162
"not","have",161
"these","programs",161
"and","addiction",160
"the","needs",160
"the","only",158
"the","work",158
"our","states",157
"students","and",157
"those","who",157
"for","this",157
"governors","budget",155
"and","for",154
"nursing","home",153
"proposed","cuts",153
"ensure","that",153
"state","the",150
"your","consideration",150
"this","year",150
"would","like",149
"members","and",149
"most","vulnerable",149
"each","year",149
"support","the",148
"health","professionals",148
"and","that",147
"all","the",147
"health","education",147
"need","for",146
"they","have",146
"regional","action",146
"our","community",146
"collaboration","with",144
"budget","for",144
"the","center",143
"our","communities",143
"good","afternoon",142
"the","general",142
"the","impact",140
"the","public",140
"the","centers",139
"domestic","violence",138
"health","service",138
"services","the",136
"you","have",136
"meet","the",136
"home","care",135
"support","and",135
"know","that",135
"programs","that",134
"mental","illness",134
"the","services",134
"program","and",133
"before","you",133
"that","our",133
"for","years",133
"the","cost",133
"without","the",133
"they","can",132
"connecticut","and",132
"the","number",132
"resources","and",132
"the","people",131
"health","center",131
"evening","senator",131
"ask","that",131
"the","primary",131
"addiction","services",131
"that","has",130
"does","not",130
"work","with",130
"february","good",129
"our","children",129
"school","and",129
"and","medical",129
"for","many",128
"these","services",128
"every","day",127
"the","ability",127
"oral","health",127
"adult","education",126
"with","you",126
"connecticut","residents",126
"service","corps",125
"would","not",125
"core","services",125
"any","questions",125
"the","national",124
"federal","state",123
"will","not",122
"education","programs",122
"family","and",121
"these","are",121
"and","health",121
"funding","and",120
"needs","and",120
"development","and",119
"public","schools",119
"did","not",118
"home","and",118
"the","students",118
"the","need",118
"was","the",118
"the","following",117
"they","need",117
"program","for",117
"years","ago",116
"program","provides",116
"for","those",116
"oppose","the",115
"ranking","members",115
"the","board",115
"sexual","assault",115
"high","quality",115
"the","new",115
"communities","and",115
"asnuntuck","community",114
"and","are",113
"community","and",112
"the","time",112
"and","will",111
"been","able",111
"centers","for",111
"for","people",110
"written","testimony",110
"individuals","with",110
"the","development",110
"policy","and",109
"throughout","the",109
"health","boards",108
"connecticut","general",108
"health","careers",108
"that","have",107
"that","this",107
"program","that",107
"year","the",106
"funding","that",106
"provide","the",105
"their","own",104
"with","mental",104
"budget","and",104
"waiting","list",104
"staff","and",104
"but","the",103
"distinguished","members",103
"the","safety",103
"cuts","will",103
"you","are",103
"during","the",103
"and","communities",102
"children","who",102
"here","today",102
"and","more",101
"and","substance",101
"this","funding",101
"young","children",100
"start","program",100
"the","children",100
"area","health",100
"working","with",100
"afternoon","senator",100
"testimony","before",99
"can","continue",99
"and","advocacy",99
"action","councils",99
"education","center",98
"for","these",98
"the","executive",98
"years","and",97
"work","and",97
"and","its",97
"child","care",97
"line","items",97
"children","are",96
"past","years",96
"health","centers",96
"programs","are",95
"and","they",95
"ahec","inc",95
"the","cuts",95
"block","grant",95
"cochairs","ranking",95
"supportive","housing",95
"and","local",94
"students","with",94
"west","hartford",94
"life","and",94
"for","public",94
"she","was",94
"and","representative",93
"and","state",93
"the","next",93
"you","and",93
"after","school",93
"since","the",93
"when","they",93
"for","example",93
"this","testimony",92
"understand","that",92
"committee","thank",92
"the","dds",92
"our","ability",92
"but","also",92
"care","program",92
"regarding","the",92
"budget","proposal",91
"the","care",91
"the","classroom",91
"this","budget",90
"you","will",90
"with","their",90
"they","will",90
"for","independent",90
"the","fact",89
"may","have",89
"the","money",89
"the","right",89
"boys","girls",88
"was","able",88
"reduce","the",88
"the","staff",88
"nursing","homes",88
"jobs","and",87
"advocate","for",87
"and","opportunities",87
"the","quality",87
"the","importance",86
"governor","malloy",86
"fact","that",86
"the","other",86
"health","needs",86
"school","readiness",86
"and","distinguished",86
"that","would",85
"center","ahec",85
"less","than",85
"program","has",85
"because","they",85
"public","school",85
"have","had",85
"program","office",84
"budget","adjustments",84
"young","people",84
"and","has",84
"state","university",83
"care","providers",83
"abuse","and",83
"the","lives",83
"this","state",82
"residents","with",82
"for","over",82
"for","more",82
"new","britain",82
"school","based",82
"our","most",82
"have","made",81
"based","health",81
"change","the",81
"individuals","and",81
"with","state",81
"are","already",81
"for","connecticut",81
"and","consideration",81
"state","funded",80
"the","million",80
"have","learned",80
"the","country",80
"year","and",80
"invaluable","resource",79
"you","may",79
"the","support",79
"and","work",79
"dear","senator",79
"and","children",79
"children","with",79
"including","the",79
"care","center",79
"and","education",79
"program","which",79
"and","resources",78
"and","programs",78
"low","income",78
"for","families",78
"the","system",77
"impact","the",77
"housing","and",77
"and","technology",77
"new","london",77
"this","committee",77
"and","how",77
"midterm","budget",77
"the","hospital",77
"committee","public",76
"nursing","facility",76
"funds","for",76
"have","seen",76
"years","the",76
"parents","and",76
"health","professions",76
"providers","and",76
"information","and",76
"our","residents",75
"understand","the",75
"legal","services",75
"the","club",75
"that","can",75
"learn","about",75
"per","year",75
"public","policy",74
"support","services",74
"connecticut","has",74
"you","know",74
"care","services",74
"along","with",74
"speak","with",74
"the","way",74
"when","the",74
"the","ahec",74
"two","years",73
"are","being",73
"that","provides",73
"students","who",73
"professionals","and",73
"with","our",73
"that","there",73
"and","behavioral",73
"and","mental",73
"affairs","commission",73
"for","individuals",72
"quality","care",72
"educational","programs",72
"who","need",72
"the","federal",72
"general","fund",72
